provider_id,provider_name,department,hospital_id,years_experience
669,Nathaniel Lee,Pediatrics,8,21
670,Michael Morrison,Emergency Medicine,6,17
671,Chelsea Gill,Obstetrics,5,19
672,Kristin Mendoza,Internal Medicine,6,15
673,Felicia Krueger,Neurology,5,9
674,Timothy Hayden,Radiology,8,10
675,Zachary Mendoza,Cardiology,1,31
676,Larry Harris,Emergency Medicine,11,23
677,Kristen Rowe,Pediatrics,7,30
678,Joseph Howard,Orthopedics,10,33
679,Jose Crawford,Emergency Medicine,10,9
680,William Harrison,General Surgery,11,1
681,Suzanne Wood,Pediatrics,2,11
682,Justin Walker,Radiology,9,34
683,Dean Donovan,General Surgery,1,16
684,Jennifer Hernandez,Emergency Medicine,11,9
685,James Whitaker,Cardiology,10,32
686,Mr. Michael Scott PhD,Cardiology,6,15
687,Maria Henry,Radiology,9,12
688,Robert Jackson,Oncology,1,33
689,Katherine Stark,Obstetrics,4,14
690,Maria Brown,Orthopedics,4,8
691,Ryan Landry,Oncology,9,8
692,Pamela Gutierrez,Cardiology,11,27
693,Crystal Mann,Cardiology,5,12
694,Jonathan Brooks,Neurology,5,1
695,Mary Jensen,General Surgery,6,11
696,Mr. Aaron Arnold,Emergency Medicine,1,31
697,Joseph Hill,Orthopedics,1,17
698,Alicia Li,Radiology,9,33
699,Renee Browning,Emergency Medicine,3,32
700,Brent Hernandez,Neurology,4,29
701,Joseph Ochoa,Cardiology,1,21
702,James Watson,Radiology,9,21
703,Karl Branch,Cardiology,8,23
704,Michael Abbott,Orthopedics,2,6
705,Shannon Malone,General Surgery,8,22
706,James Tran,Emergency Medicine,7,8
707,Adam Jackson,Emergency Medicine,11,11
708,Mr. Richard Knight PhD,Oncology,6,24
709,Joseph Williams,Radiology,1,21
710,Sean Clay,Obstetrics,7,2
711,Anthony Jones,Neurology,10,19
712,Stephanie Elliott,Obstetrics,7,28
713,Timothy Edwards,Oncology,9,17
714,Laurie Goodwin,Orthopedics,1,6
715,Jennifer Jones,Neurology,2,19
716,David Davenport,General Surgery,11,28
717,Steven Rivera,Obstetrics,9,2
718,Brenda Hinton,General Surgery,9,4
719,Kathryn Mccann,Obstetrics,6,22
720,Jeffrey Roberson,General Surgery,6,26
721,Randy Friedman,Obstetrics,4,13
722,Raymond Johnson,General Surgery,4,32
723,Willie Henry,Oncology,5,17
724,Todd Reynolds,Pediatrics,3,19
725,Mary Miller,Neurology,1,28
726,Rebecca Marquez,Radiology,1,1
727,Christian Dawson,Orthopedics,12,18
728,Nancy Stewart,Internal Medicine,7,33
729,Aaron Parker,Cardiology,1,12
730,Derrick Anderson,Radiology,1,8
731,Jerry Peters,Cardiology,3,24
732,Alexander Gomez,Neurology,10,16
733,Kyle Nguyen,Radiology,4,4
734,Edgar Hughes,General Surgery,4,27
735,Steven Stein,General Surgery,2,9
736,Laura Jackson,Internal Medicine,1,16
737,Charles Turner,Cardiology,3,12
738,Arthur Hamilton MD,Orthopedics,11,31
739,Mr. David Wright,Neurology,4,24
740,Linda Gonzalez,General Surgery,3,14
741,Eric Rush,Pediatrics,8,25
742,Manuel Brock,Oncology,10,34
743,George Ochoa,Oncology,1,3
744,Valerie Taylor,Obstetrics,2,24
745,Travis Harris,Orthopedics,7,9
746,Vincent Novak,Oncology,4,26
747,Michael Henry,Obstetrics,8,20
748,Dana Bennett,Cardiology,11,10
749,Jenna Wilson,General Surgery,3,19
750,Leslie Gardner,General Surgery,6,3
751,Krista Benton,Pediatrics,9,24
752,Michael Gonzales,Radiology,1,5
753,Michael Fuentes,Oncology,1,3
754,Jennifer Porter,Cardiology,8,27
755,Dana Hopkins,Emergency Medicine,3,16
756,Rachel Jones,Oncology,5,15
757,Karen Morales DDS,Orthopedics,1,12
758,Melissa Stephens,Radiology,5,26
759,Heather Woodard,Oncology,11,34
760,Margaret Miller,Cardiology,6,23
761,Mary Kelly,Oncology,8,31
762,Amanda Terrell,Orthopedics,3,20
763,Jennifer Goodwin,Emergency Medicine,3,12
764,Jessica Smith,Neurology,12,23
765,Jorge Stone,Internal Medicine,11,4
766,Laura Griffin,Emergency Medicine,11,23
767,Raymond Chapman,Obstetrics,10,1
768,Haley Johnson,Oncology,9,25
769,Jason Nixon,General Surgery,4,2
770,Todd Thomas,Pediatrics,4,30
771,Jesse Clark,General Surgery,12,3
772,Mr. Jeffrey Horton,Emergency Medicine,7,21
773,Eric Patrick,General Surgery,2,25
774,Samuel Wong,Cardiology,8,20
775,Carly Riggs,General Surgery,6,22
776,Christopher Moore,Radiology,3,21
777,Tina Hall,Neurology,9,33
778,Cody Davidson,Oncology,5,15
779,Allen Mendez,General Surgery,8,15
780,Kevin Price,Orthopedics,7,25
781,Christine Goodwin,Neurology,8,21
782,Amy Garcia,Neurology,7,24
783,Chelsea Nguyen,General Surgery,3,5
784,Dennis Huffman,Neurology,2,6
785,Margaret Harper,Pediatrics,7,23
786,Laurie Bailey,General Surgery,3,4
787,Lisa Cervantes,Cardiology,3,27
788,Elizabeth Mendez,Emergency Medicine,2,18
789,Cesar Wilson,Radiology,4,21
790,Clayton Steele,Internal Medicine,8,28
791,Jennifer Taylor,Obstetrics,12,22
792,Cody Reid,Neurology,1,23
793,Maria Cooke,Cardiology,1,3
794,Katherine Taylor,Oncology,12,10
795,Jerry Brown,Oncology,5,25
796,Adam Taylor,Obstetrics,11,8
797,Tracey Wagner,Radiology,5,11
798,Michael Perry PhD,Neurology,11,5
799,Bradley Johnson DDS,Pediatrics,12,29
800,Donald Medina,Obstetrics,1,5
